property_type_name,property_type_id
Chalet,1
Cabin,2
Home,3
Treehouse,4
Tiny home,5
Room,6
Guest suite,7
Dome,8
Barn,9
Apartment,10
Farm stay,11
Cottage,12
Place to stay,13
Hut,14
Condo,15
Houseboat,16
Guesthouse,17
Tent,18
Hotel room,19
Campsite,20
Loft,21
Nature lodge,22
Boat,23
Earthen home,24
Shipping container,25
Camper/RV,26
Yurt,27
Boutique hotel,28
Bungalow,29
Hotel,30
Villa,31
Hostel,32
Tower,33
Shepherd’s hut,34
Trullo,35
Castle,36
Cave,37
Vacation home,38
Lighthouse,39
Windmill,40
Island,41
Resort,42
Townhouse,43
