city,state,country,location_id
Skykomish,Washington,US,1
Hancock,New York,US,2
West Farmington,Ohio,US,3
Blue Ridge,Georgia,US,4
Grandview,Texas,US,5
Puerto Escondido,,Mexico,6
Saco,Maine,US,7
Grand Étang,,Canada,8
Mexico City,,Mexico,9
Sandy Valley,Nevada,US,10
Huntsville,,Canada,11
Nelson,,Canada,12
Joshua Tree,California,US,13
Vero Beach,Florida,US,14
Bolton,Vermont,US,15
Ucluelet,,Canada,16
Essex,,Canada,17
Bacalar,,Mexico,18
Travelers Rest,South Carolina,US,19
Del Norte County,California,US,20
San Carlos,,Costa Rica,21
Frazeysburg,Ohio,US,22
Rodney,,Canada,23
La Habana,,Cuba,24
Terlingua,Texas,US,25
Port Angeles,Washington,US,26
Fredericksburg,Texas,US,27
Harcourt,,Canada,28
Medellín,,Colombia,29
Bryson City,North Carolina,US,30
Retiro,,Colombia,31
Bluefields,,Jamaica,32
Bavaro,,Dominican Republic,33
Marion,North Carolina,US,34
Sandgate,Vermont,US,35
Puerto Vallarta,,Mexico,36
Sanbornton,New Hampshire,US,37
Moss Beach,California,US,38
Wheatley,,Canada,39
Topanga,California,US,40
Cajicá,,Colombia,41
Center Conway,New Hampshire,US,42
Renous,,Canada,43
Huntsville,Missouri,US,44
Castleton,,Canada,45
Bodega Bay,California,US,46
Rocky View County,,Canada,47
Low,,Canada,48
Key Largo,Florida,US,49
Malibu,California,US,50
Petit-Tracadie,,Canada,51
Jarratt,Virginia,US,52
El Peñol,,Colombia,53
North Vancouver,,Canada,54
Shirley,,Canada,55
Miami,Florida,US,56
Kansas City,Missouri,US,57
Lac-Supérieur,,Canada,58
Saint-Damien,,Canada,59
Tulum,,Mexico,60
Durham,,Canada,61
Island Park,Idaho,US,62
Arrowbear Lake,California,US,63
Borinquen,,Puerto Rico,64
Wasaga Beach,,Canada,65
Blockhouse,,Canada,66
Peachland,,Canada,67
Shaftsbury,Vermont,US,68
Windermere,,Canada,69
Myrtle Beach,South Carolina,US,70
Laguna Beach,California,US,71
Playa del Carmen,,Mexico,72
Maynooth,,Canada,73
Cabo Rojo,,Puerto Rico,74
Canning,,Canada,75
Luquillo,,Puerto Rico,76
Lahaina,Hawaii,US,77
Hollywood,Florida,US,78
Naples,New York,US,79
Nemaiah Valley,,Canada,80
The Blue Mountains,,Canada,81
Komoka,,Canada,82
Punta Cana,,Dominican Republic,83
Hilbert,Wisconsin,US,84
Whittier,North Carolina,US,85
Puntarenas Province,,Costa Rica,86
Monteverde,,Costa Rica,87
Quesada,,Costa Rica,88
Key West,Florida,US,89
Zapotal,,Costa Rica,90
Destin,Florida,US,91
Playa Hermosa,,Costa Rica,92
Bellingham,Washington,US,93
San Juan,,Puerto Rico,94
Gold Bar,Washington,US,95
Orlando,Florida,US,96
Marathon,Florida,US,97
Uvero Alto - Bavaro - Punta Cana,,Dominican Republic,98
Mazamitla,,Mexico,99
Wardensville,West Virginia,US,100
Stuart,Florida,US,101
Miami Beach,Florida,US,102
Weaverville,North Carolina,US,103
Half Moon Bay,California,US,104
Hiawassee,Georgia,US,105
San José,,Costa Rica,106
Rosarito,,Mexico,107
Atlantic City,New Jersey,US,108
Santa Marta,,Colombia,109
Cabo San Lucas,,Mexico,110
Kawartha Lakes,,Canada,111
Cholula,,Mexico,112
Jacó,,Costa Rica,113
Río Grande,,Puerto Rico,114
Mazatlán,,Mexico,115
Cancún,,Mexico,116
Real Montecassino,,Mexico,117
Cuauhtémoc,,Mexico,118
Kaunakakai,Hawaii,US,119
Atenas,,Costa Rica,120
Jauca,,Puerto Rico,121
Puerto Viejo de Talamanca,,Costa Rica,122
Acapulco,,Mexico,123
Airville,Pennsylvania,US,124
Pinilla,,Costa Rica,125
Siler City,North Carolina,US,126
Horning's Mills,,Canada,127
Ashford,Washington,US,128
Newport Beach,California,US,129
Guarne,,Colombia,130
Fennville,Michigan,US,131
Tamanique,,El Salvador,132
Las Galeras,,Dominican Republic,133
Gilmour,,Canada,134
Ocean City,Maryland,US,135
New York,New York,US,136
Islamorada,Florida,US,137
Gordonville,Pennsylvania,US,138
Quintana Roo,,Mexico,139
Georgetown,Maine,US,140
Marina del Rey,California,US,141
Tepoztlán,,Mexico,142
Oceanside,California,US,143
Los Angeles,California,US,144
Cape Coral,Florida,US,145
Saint Marys,,Canada,146
Mill Village,,Canada,147
Mineral Bluff,Georgia,US,148
Sundridge,,Canada,149
Galveston,Texas,US,150
Woodford,Vermont,US,151
Bowen Island,,Canada,152
Hopatcong,New Jersey,US,153
Naples,Florida,US,154
Reaboro,,Canada,155
San José del Cabo,,Mexico,156
Tremont,Maine,US,157
Manzanita,Oregon,US,158
Hamilton,,Canada,159
Willemstad,,Curaçao,160
East End,,U.S. Virgin Islands,161
Guanacaste Province,,Costa Rica,162
Balderson,,Canada,163
Aptos,California,US,164
Naalehu,Hawaii,US,165
Honolulu,Hawaii,US,166
Sackville,,Canada,167
Carolina,,Puerto Rico,168
Santa Teresa Beach,,Costa Rica,169
Matapalo,,Costa Rica,170
Panama City Beach,Florida,US,171
Yachats,Oregon,US,172
Avalon,California,US,173
Sorrento,,Canada,174
Kailua-Kona,Hawaii,US,175
Kissimmee,Florida,US,176
Morongo Valley,California,US,177
Kihei,Hawaii,US,178
Zona Hotelera,,Mexico,179
Isla Mujeres,,Mexico,180
Oceanside,Oregon,US,181
Wilmington,New York,US,182
Sandane,,Norway,183
Jurków,,Poland,184
Şarköy,,Turkey,185
Hvanneyri,,Iceland,186
Krabčice,,Czechia,187
Fiumicino,,Italy,188
Güejar Sierra,,Spain,189
Teo,,Spain,190
Hol,,Norway,191
Nyköping S,,Sweden,192
Jickovice,,Czechia,193
Hornedo,,Spain,194
Viana do Castelo,,Portugal,195
Gombola,,Italy,196
Darżkowo,,Poland,197
Kenilworth,,UK,198
Dassel,,Germany,199
Montregard,,France,200
Saint-Ouen,,France,201
Gällstad,,Sweden,202
Trasquera,,Italy,203
Hessisch Lichtenau,,Germany,204
Oxfordshire,,UK,205
Draperstown,,UK,206
Calpe,,Spain,207
Saint-Nabord,,France,208
Biarritz,,France,209
Ostuni,,Italy,210
Girvan,,UK,211
Monmouth,,UK,212
Miazzina,,Italy,213
Poltimore,,UK,214
Pollina,,Italy,215
Χράνοι,,Greece,216
Rodos,,Greece,217
Midmar,,UK,218
Agello,,Italy,219
Adainville,,France,220
Vay,,France,221
Aljezur,,Portugal,222
Rattray,,UK,223
Muratpaşa,,Turkey,224
Bronwydd Arms,,UK,225
Behren-Lübchin,,Germany,226
Les Haudères,,Switzerland,227
Étival,,France,228
Rémalard,,France,229
Montepulciano,,Italy,230
Nowy Targ,,Poland,231
Hollacombe,,UK,232
London,,UK,233
Megalochori,,Greece,234
Catsfield,,UK,235
La Zubia,,Spain,236
Afa,,France,237
Ericeira,,Portugal,238
Rouffignac-de-Sigoulès,,France,239
Esche,,Germany,240
Kremasti,,Greece,241
Torreglia,,Italy,242
Mesaria,,Greece,243
Nutley,,UK,244
Winningen,,Germany,245
Baião,,Portugal,246
Highland Council,,UK,247
Totana,,Spain,248
Fountana,,Greece,249
Filipstad N,,Sweden,250
Borgo Valsugana,,Italy,251
Llandissilio,,UK,252
Mayen,,Germany,253
Akrotiri,,Greece,254
Trefeinon,,UK,255
Cynwyd,,UK,256
Athina,,Greece,257
Alberobello,,Italy,258
Båstad V,,Sweden,259
Coreggia,,Italy,260
Martina Franca,,Italy,261
Montale Rangone,Modena,Italy,262
Berlin,,Germany,263
Rome,,Italy,264
Santa Lucia,,Italy,265
Reclesne,,France,266
Asciano,,Italy,267
Pennabilli,,Italy,268
Nes På Hedmark,,Norway,269
Torsåker,,Sweden,270
Saint-Mandé,,France,271
Walpole,,UK,272
East Farndon,,UK,273
Rüthen,,Germany,274
Plaka,,Greece,275
Saint-Lary-Soulan,,France,276
Borgo Valbelluna,,Italy,277
Kassel,,Germany,278
Barcelona,,Spain,279
Sabóia,,Portugal,280
Mont-le-Vernois,,France,281
Dirlaught,,Ireland,282
Witzenhausen,,Germany,283
Planos,,Greece,284
Kadıköy,,Turkey,285
Nicosia,,Italy,286
Izmir,,Turkey,287
Perranwell Station,,UK,288
Areti,,Greece,289
Wapnica,,Poland,290
Millbrook,,UK,291
La Marsa,,Tunisia,292
Jonstorp,,Sweden,293
Positano,,Italy,294
Benalauría,,Spain,295
Muldenhammer,,Germany,296
Audierne,,France,297
Penzance,,UK,298
La Atalaya,,Spain,299
Vouzela,,Portugal,300
Thessaloniki,,Greece,301
Torbalı,,Turkey,302
Fethiye,,Turkey,303
Finestrat,,Spain,304
Idrac respailles,,France,305
Kotor,,Montenegro,306
Chalkida,,Greece,307
Skopelos,,Greece,308
Scottish Borders,,UK,309
Baošići,,Montenegro,310
Atouguia da Baleia,,Portugal,311
Bad Sankt Leonhard im Lavanttal,,Austria,312
Punta Prima,,Spain,313
Verson,,France,314
Vaiano,,Italy,315
Boscastle,,UK,316
County Wicklow,,Ireland,317
Las Negras,,Spain,318
Serrazone,,Italy,319
Ploemeur,,France,320
Bridge of Earn,,UK,321
Rif,,Iceland,322
County Durham,,UK,323
Wien,,Austria,324
Mons,,France,325
Roviano,,Italy,326
Jumilhac-le-Grand,,France,327
Rosenthal-Bielatal,,Germany,328
Wolfegg,,Germany,329
Atzeneta del Maestrat,,Spain,330
Taktikoupoli,,Greece,331
Le Relecq-Kerhuon,,France,332
Covilhã,,Portugal,333
Abram,,Greece,334
Halsham,,UK,335
Rocchetta Nervina,,Italy,336
Cernobbio,,Italy,337
Wettringen,,Germany,338
Otívar,,Spain,339
Castelmezzano,,Italy,340
La Canourgue,,France,341
Dinami,,Italy,342
Crossdoney,,Ireland,343
Abiansemal,,Indonesia,344
Balian Beach,,Indonesia,345
Ubud,,Indonesia,346
Tampaksiring,,Indonesia,347
Balamban,,Philippines,348
