listing_id,check_in,price,offer_price,offer_id,check_out
1,Jun 11 - 16,306.0,229.0,1,
2,Jun 6 - 11,485.0,170.0,2,
3,Jul 9 - 14,119.0,522.0,3,
4,Jun 11 - 16,192.0,348.0,4,
5,Jun 4 - 9,232.0,196.0,5,
6,Jun 21 - 26,261.0,148.0,6,
7,Jun 4 - 9,607.0,,7,
8,Jun 8 - 15,381.0,,8,
9,Jul 3 - 8,29.0,,9,
10,Jun 26 - Jul 1,154.0,,10,
11,Sep 4 - 10,207.0,,11,
12,Jun 1 - 6,162.0,,12,
13,Jun 1 - 6,268.0,,13,
14,Sep 11 - 16,111.0,,14,
15,Jun 1 - 6,174.0,,15,
16,Sep 8 - 13,497.0,,16,
17,Jun 11 - 16,163.0,,17,
18,Jun 18 - 23,141.0,,18,
19,Aug 20 - 25,282.0,417.0,19,
20,Jun 9 - 14,89.0,253.0,20,
21,Aug 31 - Sep 5,132.0,,21,
22,Jun 4 - 9,143.0,,22,
23,Jul 23 - 28,463.0,,23,
24,Jun 21 - 26,29.0,,24,
25,Jul 9 - 14,136.0,,25,
26,Sep 1 - 6,688.0,,26,
27,Jun 18 - 23,658.0,,27,
28,Sep 3 - 8,392.0,,28,
29,Jun 17 - 22,67.0,,29,
30,Jun 4 - 9,51.0,,30,
31,Jun 19 - 24,354.0,,31,
32,Jun 23 - 28,107.0,,32,
33,Jul 14 - 21,102.0,,33,
34,Jul 1 - 6,171.0,,34,
35,Aug 12 - 17,286.0,,35,
36,Jun 6 - 11,301.0,,36,
37,Jul 12 - 17,112.0,146.0,37,
38,Jun 4 - 9,169.0,1089.0,38,
39,Sep 11 - 16,43.0,630.0,39,
40,Jun 1 - 6,1463.0,225.0,40,
41,Jun 4 - 11,764.0,819.0,41,
42,Jun 3 - 8,225.0,,42,
43,Jun 1 - 6,40.0,,43,
44,Jul 1 - 6,287.0,,44,
45,Jun 25 - 30,93.0,,45,
46,Jul 4 - 9,118.0,,46,
47,Jul 21 - 26,138.0,,47,
48,Aug 13 - 18,670.0,,48,
49,Aug 25 - 30,135.0,,49,
50,Jun 1 - 6,178.0,,50,
51,Jul 11 - 16,218.0,,51,
52,Jun 6 - 13,898.0,,52,
53,Jun 4 - 9,144.0,,53,
54,Jun 4 - 9,125.0,,54,
55,Jun 12 - 17,220.0,372.0,55,
56,Jun 6 - 11,305.0,251.0,56,
57,Jun 4 - 9,480.0,290.0,57,
58,Jun 27 - Jul 4,398.0,265.0,58,
59,Jun 4 - 10,148.0,39.0,59,
60,Jul 25 - 31,322.0,232.0,60,
61,Jun 1 - 6,315.0,78.0,61,
62,Jun 2 - 7,128.0,,62,
63,Jun 1 - 6,55.0,,63,
64,Jun 4 - 9,360.0,,64,
65,Jun 15 - 20,224.0,,65,
66,Jun 19 - 24,227.0,,66,
67,Aug 7 - 12,363.0,,67,
68,Jun 11 - 16,232.0,,68,
69,Jun 18 - 23,81.0,,69,
70,Jun 2 - 7,271.0,,70,
71,Jun 4 - 9,219.0,,71,
72,Jun 1 - 6,109.0,,72,
73,Aug 27 - Sep 1,335.0,223.0,73,
74,Jun 25 - Jul 1,261.0,63.0,74,
75,Jun 1 - 6,287.0,228.0,75,
76,Jun 4 - 9,89.0,198.0,76,
77,Jun 4 - 9,71.0,141.0,77,
78,Jun 26 - Jul 1,138.0,169.0,78,
79,Aug 2 - 7,134.0,,79,
80,Sep 4 - 9,75.0,,80,
81,Jun 9 - 14,302.0,,81,
82,Jun 4 - 9,248.0,,82,
83,Jun 11 - 16,91.0,,83,
84,Jun 1 - 6,34.0,,84,
85,Jun 5 - 12,154.0,,85,
86,Jun 4 - 9,118.0,,86,
87,Jun 3 - 8,31.0,,87,
88,Jun 11 - 16,112.0,,88,
89,Jul 11 - 16,132.0,,89,
90,Jun 4 - 9,239.0,,90,
91,Aug 7 - 12,291.0,169.0,91,
89,Jul 11 - 16,132.0,42.0,92,
90,Jun 4 - 9,239.0,132.0,93,
92,Jun 4 - 9,230.0,47.0,94,
93,Sep 5 - 10,159.0,161.0,95,
94,Jun 5 - 10,82.0,,96,
95,Jun 11 - 16,233.0,,97,
96,Jun 4 - 9,51.0,,98,
97,Aug 13 - 18,231.0,,99,
98,Jul 3 - 9,162.0,,100,
99,Jun 11 - 16,232.0,,101,
100,Jul 8 - 13,115.0,,102,
101,Jul 9 - 14,57.0,,103,
102,Jun 25 - 30,253.0,,104,
103,Jul 31 - Aug 5,468.0,,105,
104,Jul 9 - 14,127.0,,106,
105,Jul 17 - 22,276.0,,107,
106,Aug 1 - 6,186.0,,108,
107,Jun 25 - 30,58.0,161.0,109,
106,Aug 1 - 6,186.0,192.0,110,
108,Jun 21 - 26,37.0,132.0,111,
109,Jun 4 - 10,244.0,63.0,112,
110,Aug 6 - 11,173.0,49.0,113,
111,Jun 1 - 7,38.0,,114,
112,Jun 14 - 19,302.0,,115,
113,Jun 5 - 10,142.0,,116,
114,Jun 10 - 15,147.0,,117,
115,Jul 29 - Aug 3,228.0,,118,
116,Jun 25 - 30,220.0,,119,
117,Jun 18 - 23,143.0,,120,
118,Jun 23 - 28,89.0,,121,
119,Jun 10 - 15,171.0,,122,
120,Jun 18 - 23,170.0,,123,
121,Jul 29 - Aug 3,61.0,,124,
122,Jun 6 - 11,55.0,,125,
123,Jun 18 - 23,402.0,,126,
124,Jun 18 - 23,32.0,25.0,127,
125,Jun 30 - Jul 5,76.0,67.0,128,
126,Jul 22 - 27,332.0,85.0,129,
127,Jun 10 - 15,80.0,266.0,130,
128,Sep 10 - 15,217.0,330.0,131,
129,Jun 10 - 15,100.0,253.0,132,
130,Jul 23 - 29,57.0,,133,
131,Jun 4 - 9,113.0,,134,
132,Jun 1 - 6,335.0,,135,
133,Jun 4 - 9,57.0,,136,
134,Jun 11 - 16,468.0,,137,
135,Jun 16 - 23,55.0,,138,
136,Jun 29 - Jul 6,101.0,,139,
